,favorite_count,id,retweet_count
489,7938,812781120811126785,2025
490,6936,812709060537683968,1511
491,6352,812503143955202048,1297
492,8347,812466873996607488,2038
493,14338,812372279581671427,3873
494,7598,811985624773361665,1486
495,7904,811744202451197953,1685
496,5857,811647686436880384,786
497,13377,811627233043480576,3277
498,21881,811386762094317568,6742
499,5592,810984652412424192,1526
500,9469,810896069567610880,1876
501,11495,810657578271330305,2806
502,37006,810284430598270976,11997
503,15372,810254108431155201,3544
504,16215,809920764300447744,4152
505,0,809808892968534016,5172
506,7272,809448704142938112,1549
507,20866,809220051211603969,5928
508,13861,809084759137812480,3723
509,10595,808838249661788160,3231
510,8294,808733504066486276,2291
511,11828,808501579447930884,2751
512,44612,808344865868283904,22030
513,0,808134635716833280,6282
514,9194,808106460588765185,2338
515,13169,808001312164028416,3744
516,15262,807621403335917568,3864
517,124348,807106840509214720,58729
518,0,807059379405148160,7752
519,13689,807010152071229440,4071
520,78572,806629075125202948,36740
521,0,806620845233815552,5851
522,5102,806576416489959424,2057
523,10714,806542213899489280,2495
524,0,806242860592926720,12319
525,6744,806219024703037440,1259
526,0,805958939288408065,5678
527,8674,805932879469572096,2028
528,6899,805826884734976000,1935
529,0,805823200554876929,8499
530,6030,805520635690676224,1746
531,9214,805487436403003392,2679
532,8175,805207613751304193,1809
533,14374,804738756058218496,4061
534,6423,804475857670639616,2129
535,0,804413760345620481,3408
536,46775,804026241225523202,17092
537,10538,803773340896923648,2918
538,0,803692223237865472,7847
539,11498,803638050916102144,4363
540,8132,803380650405482500,1965
541,0,803321560782307329,5629
542,10516,803276597545603072,2604
543,9459,802952499103731712,2122
544,0,802624713319034886,3082
545,7456,802600418706604034,1557
546,9382,802572683846291456,2658
547,17009,802323869084381190,6174
548,6923,802265048156610565,1441
549,9507,802239329049477120,2766
550,0,802185808107208704,282
551,8111,801958328846974976,1804
552,1850,801854953262350336,248
553,8596,801538201127157760,2185
554,6349,801285448605831168,872
555,25725,801167903437357056,6282
556,0,801127390143516673,4189
557,8473,801115127852503040,2222
558,721,800859414831898624,101
559,0,800855607700029440,1704
560,11054,800751577355128832,2945
561,13786,800513324630806528,3183
562,9957,800459316964663297,2288
563,0,800443802682937345,4566
564,11706,800388270626521089,2975
565,0,800188575492947969,4189
566,16079,800141422401830912,2694
567,29818,800018252395122689,13948
568,0,799774291445383169,4954
